UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
56,P00056,H,300.47,310.54,1410.0,36.02,152,0,No Failure
57,P00057,L,303.1,308.28,2071.0,52.38,65,1,Machine Failure
58,P00058,L,298.0,310.16,1988.0,43.8,136,0,No Failure
59,P00059,L,301.97,309.95,2166.0,30.32,91,1,Machine Failure
60,P00060,L,299.57,309.69,1452.0,36.9,180,0,No Failure
61,P00061,L,299.9,309.81,1589.0,33.86,60,0,No Failure
62,P00062,L,301.35,307.18,1045.0,32.9,165,0,No Failure
63,P00063,H,297.75,309.18,1943.0,49.79,2,0,No Failure
64,P00064,L,300.76,310.14,1150.0,26.28,211,1,Machine Failure
65,P00065,L,300.33,310.24,1565.0,56.09,197,1,Machine Failure
66,P00066,M,300.98,308.46,1171.0,48.28,102,0,No Failure
67,P00067,L,300.58,311.9,1323.0,50.91,224,1,Machine Failure
68,P00068,H,304.91,308.7,1249.0,35.37,54,0,No Failure
69,P00069,L,298.72,311.45,1318.0,38.5,0,0,No Failure
70,P00070,H,298.94,310.64,1338.0,25.67,100,0,No Failure
71,P00071,M,298.75,309.03,1336.0,34.75,197,0,No Failure
72,P00072,L,298.89,312.66,1750.0,44.94,44,0,No Failure
73,P00073,L,298.73,308.21,1169.0,52.96,225,1,Machine Failure
74,P00074,H,302.38,311.38,1566.0,28.93,174,0,No Failure
75,P00075,M,302.84,311.5,1865.0,36.34,206,1,Machine Failure
76,P00076,M,298.86,308.99,1346.0,38.49,236,1,Machine Failure
77,P00077,M,298.34,312.09,1285.0,26.04,25,0,No Failure
78,P00078,L,300.94,309.62,1431.0,45.91,120,0,No Failure
79,P00079,L,298.9,310.43,1854.0,32.76,141,0,No Failure
80,P00080,L,301.27,310.39,1558.0,38.05,249,1,Machine Failure
81,P00081,H,300.41,309.8,1341.0,35.48,181,0,No Failure
82,P00082,M,296.97,311.22,1645.0,32.11,198,0,No Failure
83,P00083,L,303.1,311.19,1169.0,39.93,45,0,No Failure
84,P00084,L,303.59,307.38,1704.0,37.84,121,0,No Failure
85,P00085,L,298.77,311.96,1623.0,36.28,30,0,No Failure
86,P00086,L,299.22,307.51,1408.0,32.72,215,1,Machine Failure
87,P00087,M,300.57,311.55,1248.0,43.2,58,0,No Failure
88,P00088,M,300.67,311.69,1234.0,56.54,222,1,Machine Failure
89,P00089,H,301.32,308.36,1660.0,41.4,28,0,No Failure
90,P00090,M,304.02,309.38,1869.0,49.96,105,0,No Failure
91,P00091,L,299.65,308.34,1309.0,26.1,223,1,Machine Failure
92,P00092,M,298.4,309.68,1638.0,41.58,16,0,No Failure
93,P00093,M,297.24,309.54,874.0,29.03,141,0,No Failure
94,P00094,M,298.54,311.17,1325.0,25.23,231,1,Machine Failure
95,P00095,M,299.93,311.97,1491.0,32.61,163,0,No Failure
96,P00096,M,303.59,312.09,1227.0,51.92,185,0,No Failure
97,P00097,M,298.96,309.16,1219.0,49.5,239,1,Machine Failure
98,P00098,M,300.45,309.69,1300.0,42.43,23,0,No Failure
99,P00099,L,299.97,307.47,1588.0,24.67,108,0,No Failure
100,P00100,L,302.38,308.79,1444.0,38.04,190,0,No Failure
101,P00101,L,305.05,311.45,829.0,43.02,245,1,Machine Failure
102,P00102,M,298.94,312.42,864.0,41.76,90,0,No Failure
103,P00103,L,299.02,308.15,1318.0,21.56,24,0,No Failure
104,P00104,M,302.09,309.11,1637.0,31.1,186,0,No Failure
105,P00105,H,301.36,309.96,676.0,39.36,31,0,No Failure
106,P00106,L,303.69,310.42,1350.0,45.36,115,0,No Failure
107,P00107,M,301.17,308.79,1342.0,18.04,81,0,No Failure
108,P00108,M,299.28,310.64,1917.0,38.38,109,0,No Failure
109,P00109,L,301.18,309.29,1384.0,41.43,145,0,No Failure
110,P00110,L,302.22,309.98,1615.0,48.5,36,0,No Failure
111,P00111,L,301.64,310.82,1542.0,46.93,25,0,No Failure
112,P00112,L,301.01,310.01,861.0,45.83,136,0,No Failure
113,P00113,H,302.13,309.35,1730.0,32.0,226,1,Machine Failure
114,P00114,H,302.34,309.84,1565.0,20.92,63,0,No Failure
115,P00115,M,302.76,309.87,1652.0,36.07,71,0,No Failure
116,P00116,H,301.3,309.44,2678.0,50.02,147,1,Machine Failure
117,P00117,H,299.67,309.61,875.0,53.93,181,0,No Failure
118,P00118,L,300.29,312.4,2017.0,47.11,105,1,Machine Failure
119,P00119,H,302.41,310.84,1414.0,44.29,85,0,No Failure
120,P00120,M,298.37,309.56,1586.0,43.8,210,1,Machine Failure
121,P00121,H,300.74,311.05,1486.0,34.44,157,0,No Failure
122,P00122,H,299.21,309.5,1373.0,38.7,52,0,No Failure
123,P00123,L,300.06,311.76,1329.0,56.69,91,1,Machine Failure
124,P00124,L,302.56,310.55,1599.0,30.57,98,0,No Failure
125,P00125,L,300.38,309.84,1045.0,56.15,234,1,Machine Failure
126,P00126,M,300.09,310.67,1725.0,36.78,190,0,No Failure
127,P00127,H,297.28,307.64,1375.0,53.25,10,0,No Failure
128,P00128,H,301.49,308.31,1161.0,25.93,30,0,No Failure
129,P00129,L,301.29,308.21,1365.0,45.86,176,0,No Failure
130,P00130,M,304.33,310.21,1877.0,32.63,239,1,Machine Failure
131,P00131,M,299.38,312.6,1339.0,25.85,230,1,Machine Failure
132,P00132,L,300.44,313.35,1608.0,42.19,99,0,No Failure
133,P00133,L,300.5,310.96,1281.0,50.09,221,1,Machine Failure
134,P00134,L,303.15,310.75,1727.0,31.55,86,0,No Failure
135,P00135,H,299.81,307.3,1706.0,25.01,146,0,No Failure
136,P00136,L,300.56,309.19,2055.0,39.08,139,1,Machine Failure
137,P00137,M,301.22,308.82,1447.0,39.13,14,0,No Failure
138,P00138,M,300.37,309.07,1701.0,45.48,158,0,No Failure
139,P00139,L,299.11,309.75,1529.0,49.5,170,0,No Failure
140,P00140,H,300.39,309.29,1889.0,39.41,100,0,No Failure
141,P00141,H,302.15,307.03,1284.0,58.56,164,1,Machine Failure
142,P00142,L,297.95,311.12,1724.0,42.24,206,1,Machine Failure
143,P00143,M,300.27,308.39,1442.0,36.54,28,0,No Failure
144,P00144,L,298.6,310.36,1481.0,23.88,113,0,No Failure
145,P00145,L,302.39,313.11,1528.0,37.37,106,0,No Failure
146,P00146,L,296.95,308.62,1576.0,36.64,153,0,No Failure
147,P00147,M,298.88,306.2,1465.0,49.6,107,0,No Failure
148,P00148,M,300.75,309.57,1564.0,44.62,129,0,No Failure
149,P00149,L,303.13,311.65,1973.0,28.21,83,0,No Failure
150,P00150,L,299.87,312.94,1796.0,41.72,14,0,No Failure
151,P00151,H,298.89,308.16,1761.0,46.72,243,1,Machine Failure
152,P00152,L,303.76,310.75,1363.0,55.28,131,1,Machine Failure
153,P00153,L,297.1,309.3,1233.0,48.88,213,1,Machine Failure
154,P00154,M,295.6,309.84,1787.0,47.61,49,0,No Failure
155,P00155,H,300.88,313.97,1763.0,40.6,165,0,No Failure
156,P00156,L,299.0,307.75,1942.0,43.88,22,0,No Failure
157,P00157,M,297.96,310.38,1319.0,52.5,58,0,No Failure
158,P00158,M,301.42,310.7,1431.0,26.67,89,0,No Failure
159,P00159,L,300.49,311.63,1008.0,36.51,114,0,No Failure
160,P00160,M,298.87,310.15,1382.0,32.27,74,0,No Failure
161,P00161,L,297.44,310.46,1799.0,43.79,155,0,No Failure
162,P00162,M,301.74,309.41,1360.0,52.3,247,1,Machine Failure
163,P00163,M,301.3,310.4,1692.0,34.03,193,0,No Failure
164,P00164,M,299.8,309.49,1443.0,16.1,122,0,No Failure
165,P00165,L,303.69,310.93,1597.0,35.88,135,0,No Failure
166,P00166,H,297.86,309.45,1156.0,49.13,156,0,No Failure
167,P00167,L,296.95,310.57,1526.0,45.38,138,0,No Failure
168,P00168,L,298.62,309.96,603.0,44.28,228,1,Machine Failure
169,P00169,L,299.91,311.69,1444.0,37.2,17,0,No Failure
170,P00170,M,300.49,309.92,1011.0,27.21,182,0,No Failure
171,P00171,M,299.52,307.34,1862.0,45.15,49,0,No Failure
172,P00172,L,300.7,311.89,1733.0,31.66,141,0,No Failure
173,P00173,M,297.5,308.64,1640.0,61.84,117,1,Machine Failure
174,P00174,L,302.89,309.02,1956.0,45.71,201,1,Machine Failure
175,P00175,M,299.84,309.11,1215.0,34.19,226,1,Machine Failure
176,P00176,L,302.23,312.06,2024.0,33.89,136,1,Machine Failure
177,P00177,M,300.69,306.8,1780.0,39.07,226,1,Machine Failure
178,P00178,L,300.91,314.71,1429.0,37.6,138,0,No Failure
179,P00179,H,301.14,311.58,1841.0,51.17,190,0,No Failure
180,P00180,L,300.9,310.33,1168.0,41.86,107,0,No Failure
181,P00181,L,301.29,309.92,1253.0,32.68,203,1,Machine Failure
182,P00182,L,302.66,310.43,1317.0,58.9,66,1,Machine Failure
183,P00183,H,300.39,310.78,1341.0,40.49,180,0,No Failure
184,P00184,H,301.42,310.97,1183.0,47.69,166,0,No Failure
185,P00185,L,299.82,310.83,1867.0,33.92,77,0,No Failure
186,P00186,M,302.88,310.13,1422.0,43.63,183,0,No Failure
187,P00187,H,298.65,309.7,1606.0,43.11,155,0,No Failure
188,P00188,M,303.6,309.77,1329.0,21.1,74,0,No Failure
189,P00189,M,299.92,309.71,954.0,60.15,38,1,Machine Failure
190,P00190,L,297.14,311.7,1581.0,52.91,24,0,No Failure
191,P00191,L,300.26,310.89,926.0,36.03,20,0,No Failure
192,P00192,H,298.64,305.59,1479.0,28.98,137,0,No Failure
193,P00193,H,301.68,310.98,1090.0,43.48,170,0,No Failure
194,P00194,M,298.69,310.29,2096.0,40.87,14,1,Machine Failure
195,P00195,L,299.11,309.97,1773.0,43.56,210,1,Machine Failure
196,P00196,L,296.22,309.42,1532.0,41.92,47,0,No Failure
197,P00197,M,299.1,311.69,1879.0,45.06,85,0,No Failure
198,P00198,H,295.15,311.42,1246.0,54.47,148,0,No Failure
199,P00199,H,296.83,308.84,1663.0,45.68,187,0,No Failure
200,P00200,M,301.52,310.61,1560.0,29.5,115,0,No Failure
201,P00201,M,301.57,308.54,1579.0,53.63,235,1,Machine Failure
202,P00202,L,300.85,307.93,1882.0,56.41,223,1,Machine Failure
203,P00203,L,298.07,309.06,1720.0,71.52,49,1,Machine Failure
204,P00204,H,299.9,311.29,1587.0,28.77,150,0,No Failure
205,P00205,M,299.99,311.43,1004.0,42.43,140,0,No Failure
206,P00206,L,297.68,310.77,1212.0,19.18,68,0,No Failure
207,P00207,L,303.01,311.09,1463.0,45.53,3,0,No Failure
208,P00208,M,301.75,310.77,1528.0,34.52,219,1,Machine Failure
209,P00209,L,299.56,309.04,1161.0,59.23,77,1,Machine Failure
210,P00210,L,300.05,310.65,2224.0,32.25,199,1,Machine Failure
211,P00211,M,300.42,311.2,1955.0,23.11,8,0,No Failure
212,P00212,M,295.92,311.13,1681.0,35.29,120,0,No Failure
213,P00213,M,299.51,311.78,1522.0,20.25,114,0,No Failure
214,P00214,L,298.64,311.06,1436.0,47.51,162,0,No Failure
215,P00215,M,298.0,310.53,1214.0,19.35,100,0,No Failure
216,P00216,L,299.44,311.61,1523.0,40.28,148,0,No Failure
217,P00217,L,303.6,309.96,1577.0,19.22,185,0,No Failure
218,P00218,M,301.28,308.68,1127.0,36.8,145,0,No Failure
219,P00219,M,298.86,309.76,1600.0,56.43,96,1,Machine Failure
220,P00220,H,301.15,308.88,1453.0,43.61,199,0,No Failure
221,P00221,M,302.8,308.99,928.0,31.37,242,1,Machine Failure
222,P00222,M,301.85,309.78,1242.0,39.69,240,1,Machine Failure
223,P00223,L,300.12,308.81,1376.0,40.18,80,0,No Failure
224,P00224,L,298.71,309.54,2066.0,44.73,42,1,Machine Failure
225,P00225,L,301.4,307.16,1667.0,26.33,94,0,No Failure
226,P00226,L,300.79,310.32,1099.0,45.93,225,1,Machine Failure
227,P00227,H,301.79,310.0,1646.0,12.96,5,0,No Failure
228,P00228,L,301.27,308.77,1036.0,33.7,213,1,Machine Failure
229,P00229,H,302.1,310.99,1825.0,35.12,205,1,Machine Failure
230,P00230,M,298.93,311.41,1359.0,46.33,66,0,No Failure
231,P00231,M,302.63,307.59,1472.0,40.23,139,0,No Failure
232,P00232,M,300.4,308.86,1898.0,25.94,99,0,No Failure
233,P00233,M,304.15,308.85,1114.0,30.15,11,0,No Failure
234,P00234,M,298.62,308.59,1081.0,41.99,236,1,Machine Failure
235,P00235,L,303.47,311.24,1325.0,39.21,65,0,No Failure
236,P00236,M,300.4,309.71,1812.0,34.21,1,0,No Failure
237,P00237,L,298.7,309.6,1044.0,35.19,142,0,No Failure
238,P00238,L,299.03,306.99,650.0,46.96,150,0,No Failure
239,P00239,M,299.36,310.95,1365.0,34.82,156,0,No Failure
240,P00240,L,300.85,308.14,1666.0,39.12,80,0,No Failure
241,P00241,H,301.05,310.09,1860.0,61.7,223,1,Machine Failure
242,P00242,H,298.85,310.42,1361.0,25.76,134,0,No Failure
243,P00243,H,299.95,312.04,1377.0,21.48,221,1,Machine Failure
244,P00244,L,304.28,308.04,1846.0,47.84,155,0,No Failure
245,P00245,L,303.46,305.47,939.0,33.21,141,0,No Failure
246,P00246,H,300.87,310.28,1383.0,36.82,171,0,No Failure
247,P00247,M,300.08,312.7,1557.0,32.19,157,0,No Failure
248,P00248,H,300.24,311.86,1635.0,37.4,208,1,Machine Failure
249,P00249,H,301.23,310.31,1347.0,55.99,159,1,Machine Failure
250,P00250,H,297.95,309.26,1510.0,48.02,237,1,Machine Failure
251,P00251,L,299.49,311.21,754.0,48.62,69,0,No Failure
252,P00252,L,296.66,308.54,1303.0,25.84,114,0,No Failure
253,P00253,H,300.8,310.71,1636.0,28.49,87,0,No Failure
254,P00254,L,301.29,310.76,1205.0,11.61,5,0,No Failure
255,P00255,L,299.03,311.59,1518.0,31.91,26,0,No Failure
256,P00256,M,303.15,314.14,1634.0,49.57,81,0,No Failure
257,P00257,H,297.55,310.59,1397.0,45.17,87,0,No Failure
258,P00258,M,297.07,309.24,1551.0,37.78,228,1,Machine Failure
259,P00259,M,300.45,309.96,1211.0,39.78,119,0,No Failure
260,P00260,L,302.09,307.35,1438.0,33.11,23,0,No Failure
261,P00261,M,303.37,308.96,1683.0,42.05,101,0,No Failure
262,P00262,H,299.08,309.39,1547.0,47.66,33,0,No Failure
263,P00263,L,302.16,309.21,1324.0,23.84,167,0,No Failure
264,P00264,M,299.92,310.23,1567.0,43.0,46,0,No Failure
265,P00265,H,299.65,308.77,1714.0,49.32,206,1,Machine Failure
266,P00266,M,301.77,311.68,885.0,35.85,202,1,Machine Failure
267,P00267,M,301.3,310.0,1848.0,47.01,213,1,Machine Failure
268,P00268,M,296.85,309.99,1399.0,68.15,245,1,Machine Failure
269,P00269,L,302.95,309.51,1628.0,38.96,23,0,No Failure
270,P00270,L,302.76,310.23,1859.0,43.93,64,0,No Failure
271,P00271,H,298.75,311.24,1088.0,32.62,17,0,No Failure
272,P00272,H,300.79,308.7,1287.0,41.81,43,0,No Failure
273,P00273,H,300.99,309.01,1413.0,44.6,75,0,No Failure
274,P00274,H,300.52,309.54,1265.0,41.95,56,0,No Failure
275,P00275,M,298.9,307.98,2020.0,29.8,106,1,Machine Failure
276,P00276,M,298.66,308.77,1243.0,42.06,155,0,No Failure
277,P00277,M,299.95,309.29,1333.0,54.62,231,1,Machine Failure
278,P00278,M,302.35,311.31,1561.0,44.49,123,0,No Failure
279,P00279,M,301.09,310.39,1139.0,49.62,198,0,No Failure
280,P00280,M,299.26,310.29,1381.0,37.63,150,0,No Failure
281,P00281,H,301.54,311.28,1595.0,47.5,212,1,Machine Failure
282,P00282,L,294.3,309.79,1400.0,42.79,161,0,No Failure
283,P00283,L,302.3,310.59,1472.0,30.49,138,0,No Failure
284,P00284,L,296.52,309.85,1341.0,43.19,213,1,Machine Failure
285,P00285,M,299.28,310.4,1046.0,30.08,233,1,Machine Failure
286,P00286,L,297.76,309.13,1596.0,33.67,162,0,No Failure
287,P00287,M,297.41,306.34,2026.0,41.89,115,1,Machine Failure
288,P00288,M,302.32,309.8,1506.0,42.97,92,0,No Failure
289,P00289,L,299.06,312.13,1568.0,28.11,41,0,No Failure
290,P00290,M,300.69,311.39,1708.0,50.54,27,0,No Failure
291,P00291,L,299.91,311.45,1119.0,45.72,122,0,No Failure
292,P00292,L,300.95,311.85,2011.0,32.95,209,1,Machine Failure
293,P00293,H,300.15,310.13,1561.0,24.62,205,1,Machine Failure
294,P00294,L,297.43,310.3,1990.0,38.55,209,1,Machine Failure
295,P00295,L,301.99,309.07,1280.0,35.54,219,1,Machine Failure
296,P00296,M,299.01,309.53,2045.0,41.13,23,1,Machine Failure
297,P00297,M,296.89,310.92,1733.0,36.37,135,0,No Failure
298,P00298,L,299.14,311.81,1666.0,19.93,105,0,No Failure
299,P00299,M,303.0,309.79,1570.0,36.12,117,0,No Failure
300,P00300,L,301.7,309.32,1425.0,36.94,236,1,Machine Failure
301,P00301,L,299.3,310.0,1860.0,46.34,52,0,No Failure
302,P00302,M,299.3,310.9,1542.0,33.02,199,0,No Failure
303,P00303,M,299.36,307.83,910.0,56.79,131,1,Machine Failure
304,P00304,M,304.15,306.56,1165.0,20.88,218,1,Machine Failure
305,P00305,M,300.76,309.17,1444.0,53.11,99,0,No Failure
306,P00306,H,300.86,308.17,1593.0,37.76,4,0,No Failure
307,P00307,M,302.06,309.24,1483.0,48.6,224,1,Machine Failure
308,P00308,L,300.48,309.78,1866.0,40.8,48,0,No Failure
309,P00309,M,299.48,309.32,915.0,51.4,97,0,No Failure
310,P00310,L,299.61,312.18,1543.0,36.13,29,0,No Failure
311,P00311,M,299.86,310.49,955.0,29.01,71,0,No Failure
312,P00312,L,299.93,310.45,1728.0,54.21,102,0,No Failure
313,P00313,L,301.46,310.93,1472.0,38.87,62,0,No Failure
314,P00314,H,300.1,308.29,1626.0,42.22,174,0,No Failure
315,P00315,H,301.47,311.56,1241.0,52.35,25,0,No Failure
316,P00316,M,299.84,309.89,1884.0,29.68,184,0,No Failure
317,P00317,M,300.16,311.01,1813.0,45.95,36,0,No Failure
318,P00318,L,296.0,308.39,1675.0,34.1,225,1,Machine Failure
319,P00319,L,301.83,307.67,1461.0,38.68,6,0,No Failure
320,P00320,L,300.69,311.23,1674.0,40.72,126,0,No Failure
321,P00321,M,302.0,310.56,1288.0,25.0,167,0,No Failure
322,P00322,M,294.21,308.65,1757.0,32.21,91,0,No Failure
323,P00323,M,304.18,308.7,1995.0,53.51,166,0,No Failure
324,P00324,L,299.72,311.69,1821.0,48.86,189,0,No Failure
325,P00325,H,302.22,308.22,1281.0,39.37,102,0,No Failure
326,P00326,M,297.92,312.46,1608.0,42.43,219,1,Machine Failure
327,P00327,M,301.23,308.65,1112.0,37.06,205,1,Machine Failure
328,P00328,M,297.89,310.96,1672.0,53.57,52,0,No Failure
329,P00329,M,298.75,309.51,1635.0,38.0,241,1,Machine Failure
330,P00330,L,303.83,310.9,939.0,42.32,229,1,Machine Failure
331,P00331,L,299.62,309.18,1151.0,51.46,131,0,No Failure
332,P00332,M,300.43,309.76,1415.0,32.23,233,1,Machine Failure
333,P00333,L,301.74,310.06,1410.0,55.59,209,1,Machine Failure
334,P00334,L,300.99,308.5,1137.0,24.7,107,0,No Failure
335,P00335,L,300.3,311.11,1617.0,56.3,111,1,Machine Failure
336,P00336,L,300.73,309.23,1575.0,36.27,152,0,No Failure
337,P00337,H,304.81,309.66,1442.0,37.57,6,0,No Failure
338,P00338,M,299.88,308.51,1273.0,21.1,229,1,Machine Failure
339,P00339,M,300.4,306.16,1815.0,35.45,155,0,No Failure
340,P00340,L,302.1,309.71,1997.0,29.6,196,0,No Failure
341,P00341,M,302.21,313.62,1355.0,33.92,66,0,No Failure
342,P00342,M,302.37,311.18,1316.0,38.63,107,0,No Failure
343,P00343,L,301.28,309.97,1647.0,49.58,222,1,Machine Failure
344,P00344,M,297.71,309.61,1393.0,42.08,110,0,No Failure
345,P00345,L,303.27,310.03,1458.0,43.08,233,1,Machine Failure
346,P00346,M,297.71,310.82,1722.0,29.04,249,1,Machine Failure
347,P00347,M,300.61,308.23,927.0,31.19,147,0,No Failure
348,P00348,L,298.49,311.67,1895.0,57.99,82,1,Machine Failure
349,P00349,L,299.87,311.07,1522.0,32.65,239,1,Machine Failure
350,P00350,M,300.66,311.08,1377.0,56.56,123,1,Machine Failure
351,P00351,M,300.64,310.66,1473.0,37.57,138,0,No Failure
352,P00352,H,300.84,310.03,1489.0,40.02,103,0,No Failure
353,P00353,M,303.23,311.01,981.0,50.7,66,0,No Failure
354,P00354,L,300.91,310.89,1948.0,52.72,214,1,Machine Failure
355,P00355,L,299.51,309.47,1512.0,38.89,6,0,No Failure
356,P00356,M,301.93,309.14,1633.0,36.12,150,0,No Failure
357,P00357,L,302.38,310.15,1785.0,39.44,188,0,No Failure
358,P00358,M,297.54,312.32,1194.0,43.38,198,0,No Failure
359,P00359,H,301.19,308.14,1642.0,48.91,109,0,No Failure
360,P00360,M,301.4,307.8,1420.0,40.04,33,0,No Failure
361,P00361,L,299.4,310.25,1754.0,46.19,105,0,No Failure
362,P00362,M,302.75,310.08,862.0,56.38,146,1,Machine Failure
363,P00363,M,299.7,310.26,1470.0,43.81,57,0,No Failure
364,P00364,M,300.25,310.37,1319.0,43.12,8,0,No Failure
365,P00365,H,299.65,309.67,1630.0,24.81,47,0,No Failure
366,P00366,L,300.03,312.23,1641.0,13.69,114,0,No Failure
367,P00367,H,297.81,307.6,1288.0,43.88,209,1,Machine Failure
368,P00368,H,297.12,308.76,1286.0,39.05,40,0,No Failure
369,P00369,L,303.19,309.85,1467.0,34.85,47,0,No Failure
370,P00370,L,298.31,307.54,1231.0,42.44,172,0,No Failure
371,P00371,L,298.02,309.74,1753.0,39.4,233,1,Machine Failure
372,P00372,L,295.69,312.49,1389.0,51.28,24,0,No Failure
373,P00373,L,298.72,310.03,628.0,40.86,115,0,No Failure
374,P00374,M,297.35,310.35,1388.0,32.53,77,0,No Failure
375,P00375,L,303.28,308.11,1188.0,49.9,107,0,No Failure
376,P00376,L,302.02,309.08,1011.0,37.83,24,0,No Failure
377,P00377,H,298.62,309.44,1129.0,45.27,146,0,No Failure
378,P00378,L,304.5,309.52,1533.0,35.23,38,0,No Failure
379,P00379,H,301.96,311.92,1899.0,33.5,118,0,No Failure
380,P00380,L,299.35,310.84,1594.0,40.84,78,0,No Failure
381,P00381,L,295.0,308.33,1318.0,40.13,79,0,No Failure
382,P00382,M,304.58,310.37,1637.0,44.8,26,0,No Failure
383,P00383,M,297.22,310.75,1362.0,37.31,103,0,No Failure
384,P00384,H,296.71,311.71,1292.0,21.64,73,0,No Failure
385,P00385,M,302.05,312.37,1154.0,35.67,190,0,No Failure
386,P00386,H,304.88,308.48,974.0,47.94,67,0,No Failure
387,P00387,L,302.77,308.78,1383.0,37.03,242,1,Machine Failure
388,P00388,L,301.13,308.11,1547.0,37.54,146,0,No Failure
389,P00389,M,301.19,309.65,1471.0,49.86,27,0,No Failure
390,P00390,H,301.71,310.7,1375.0,32.88,212,1,Machine Failure
391,P00391,H,301.52,311.48,1216.0,24.57,122,0,No Failure
392,P00392,M,300.56,309.89,1682.0,38.39,238,1,Machine Failure
393,P00393,L,300.21,309.52,1105.0,35.16,205,1,Machine Failure
394,P00394,M,299.87,310.23,1733.0,30.34,160,0,No Failure
395,P00395,L,298.49,308.75,1199.0,38.25,239,1,Machine Failure
396,P00396,H,299.44,313.13,1274.0,44.92,137,0,No Failure
397,P00397,H,296.61,307.59,1060.0,39.91,82,0,No Failure
398,P00398,M,299.8,310.28,1350.0,43.07,29,0,No Failure
399,P00399,M,298.02,313.04,1793.0,58.13,21,1,Machine Failure
400,P00400,M,297.79,310.01,1655.0,36.57,2,0,No Failure
401,P00401,L,300.36,309.71,1794.0,42.78,100,0,No Failure
